order_id,amount,category
1,46.93,books
2,301.01,electronics
3,131.67,electronics
4,91.29,electronics
5,16.96,sports
6,16.96,electronics
7,5.98,books
8,201.12,clothing
9,91.91,sports
10,123.13,sports
11,2.08,clothing
12,350.36,sports
13,178.64,clothing
14,23.87,sports
15,20.07,clothing
16,20.26,clothing
17,36.28,books
18,74.39,clothing
19,56.55,clothing
20,34.42,home
21,94.64,sports
22,15.02,sports
23,34.55,electronics
24,45.63,clothing
25,60.89,clothing
26,153.79,sports
27,22.27,electronics
28,72.2,books
29,89.75,clothing
30,4.76,home
31,93.53,sports
32,18.7,electronics
33,6.73,clothing
34,297.37,electronics
35,337.06,home
36,165.23,electronics
37,36.33,sports
38,10.28,books
39,115.28,books
40,58.01,books
41,13.02,electronics
42,68.35,clothing
43,3.5,clothing
44,240.04,clothing
45,29.95,home
46,108.63,clothing
47,37.35,sports
48,73.41,electronics
49,79.12,sports
50,20.44,books
51,349.28,sports
52,149.22,sports
53,280.51,sports
54,225.22,home
55,91.11,electronics
56,254.94,clothing
57,9.27,sports
58,21.81,books
59,4.63,electronics
60,39.35,electronics
61,49.21,sports
62,31.66,electronics
63,176.46,electronics
64,44.12,electronics
65,32.98,electronics
66,78.24,books
67,15.19,books
68,162.05,books
69,7.75,clothing
70,433.41,books
71,147.95,clothing
72,22.15,sports
73,0.55,electronics
74,168.99,books
75,122.71,sports
76,130.57,electronics
77,147.52,sports
78,7.69,home
79,44.39,electronics
80,12.32,electronics
81,198.85,clothing
82,97.63,electronics
83,40.18,sports
84,6.57,home
85,37.25,home
86,39.33,books
87,130.79,books
88,101.49,sports
89,218.23,books
90,63.91,home
91,12.74,home
92,124.91,clothing
93,143.04,electronics
94,82.39,electronics
95,147.39,books
96,68.08,sports
97,73.97,electronics
98,55.78,electronics
99,2.57,home
100,11.42,books
101,3.19,sports
102,101.17,clothing
103,37.74,sports
104,71.04,books
105,238.13,sports
106,28.67,electronics
107,52.83,sports
108,140.87,books
109,25.98,sports
110,8.01,books
111,34.21,electronics
112,17.58,home
113,265.5,sports
114,165.09,electronics
115,100.35,home
116,205.15,electronics
117,162.8,home
118,20.65,home
119,223.08,clothing
120,77.51,home
121,164.73,home
122,226.42,electronics
123,38.27,books
124,11.66,home
125,25.87,home
126,55.71,books
127,170.38,home
128,197.13,sports
129,0.7,sports
130,71.49,electronics
131,54.03,clothing
132,25.12,sports
133,12.77,sports
134,41.19,home
135,286.31,home
136,39.04,sports
137,73.15,sports
138,121.41,home
139,45.2,books
140,356.78,sports
141,328.2,clothing
142,29.01,books
143,68.77,clothing
144,35.79,clothing
145,33.52,electronics
146,3.76,home
147,94.05,clothing
148,69.85,sports
149,5.29,sports
150,32.66,books
151,238.89,sports
152,27.39,sports
153,15.65,electronics
154,67.23,clothing
155,424.4,home
156,27.71,books
157,111.52,electronics
158,143.39,clothing
159,27.13,clothing
160,130.27,sports
161,45.85,sports
162,100.05,books
163,100.38,home
164,76.74,sports
165,9.46,home
166,180.36,sports
167,38.68,home
168,20.64,sports
169,4.16,sports
170,89.38,sports
171,113.19,sports
172,1.67,home
173,71.76,electronics
174,25.68,books
175,103.61,electronics
